config,freeze_mode,lr,batch_size,augment,test_acc,forvo_acc
mode0_lr0.001_bs32_augFalse,0,0.001,32,False,0.6617210682492581,0.40384615384615385
mode1_lr0.0001_bs32_augTrue,1,0.0001,32,True,0.7270029673590505,0.36538461538461536
mode1_lr0.0001_bs16_augTrue,1,0.0001,16,True,0.7210682492581603,0.3269230769230769
mode2_lr0.0001_bs32_augFalse,2,0.0001,32,False,0.7833827893175074,0.4230769230769231
mode3_lr0.0001_bs16_augTrue,3,0.0001,16,True,0.8427299703264095,0.3269230769230769
mode2_lr0.0001_bs32_augTrue,2,0.0001,32,True,0.7507418397626113,0.40384615384615385
mode2_lr0.0001_bs16_augFalse,2,0.0001,16,False,0.7863501483679525,0.36538461538461536
mode3_lr0.0001_bs16_augFalse,3,0.0001,16,False,0.9080118694362018,0.38461538461538464
mode0_lr0.001_bs16_augFalse,0,0.001,16,False,0.7744807121661721,0.3269230769230769
mode1_lr0.0001_bs32_augFalse,1,0.0001,32,False,0.8694362017804155,0.25
